seconds,CPU,memory
0, 0.0, 0.0
5, 0.0, 0.0
10, 0.0, 0.1
15, 0.0, 0.1
20, 0.0, 0.1
25, 0.0, 0.1
30, 0.0, 0.1
35, 0.0, 0.2
40, 0.0, 0.2
45, 0.0, 0.2
50, 0.0, 0.2
55, 0.0, 0.3
60, 0.0, 0.3
65, 0.0, 0.4
70, 0.0, 0.4
75, 0.0, 0.4
80, 0.0, 0.4
85, 0.0, 0.4
90, 0.0, 0.4
95, 0.0, 0.5
100, 0.0, 0.5
105, 0.0, 0.5
110, 0.0, 0.5
115, 0.0, 0.6
120, 0.0, 0.6
125, 0.0, 0.7
130, 0.0, 0.7
135, 0.0, 0.7
140, 0.0, 0.8
145, 0.0, 0.8
150, 0.0, 0.8
155, 0.0, 0.8
160, 0.0, 0.9
165, 0.0, 0.9
170, 0.0, 0.9
175, 0.0, 0.9
180, 0.0, 0.9
185, 0.0, 1.0
190, 0.0, 1.0
195, 0.0, 1.0
200, 0.0, 1.1
205, 0.0, 1.1
210, 0.0, 1.1
215, 0.0, 1.1
220, 0.0, 1.2
225, 0.0, 1.2
230, 0.0, 1.2
235, 0.0, 1.3
240, 0.0, 1.3
245, 0.0, 1.4
250, 0.0, 1.4
255, 0.0, 1.4
260, 0.0, 1.4
265, 0.0, 1.4
270, 0.0, 1.5
275, 0.0, 1.5
280, 0.0, 1.6
285, 0.0, 1.6
290, 0.0, 1.6
295, 0.0, 1.6
300, 0.0, 1.6
305, 0.0, 1.7
310, 0.0, 1.7
315, 0.0, 1.7
320, 0.0, 1.8
325, 0.0, 1.8
330, 0.0, 1.8
335, 0.0, 1.8
340, 0.0, 1.9
345, 0.0, 1.9
350, 0.0, 1.9
355, 0.0, 1.9
360, 0.0, 1.9
365, 0.0, 1.9
370, 0.0, 1.9
375, 0.0, 2.0
380, 0.0, 2.0
385, 0.0, 2.1
390, 0.0, 2.1
395, 0.0, 2.1
400, 0.0, 2.1
405, 0.0, 2.1
410, 0.0, 2.2
415, 0.0, 2.2
420, 0.0, 2.2
425, 0.0, 2.2
430, 0.0, 2.2
435, 0.0, 2.3
440, 0.0, 2.3
445, 0.0, 2.3
450, 0.0, 2.3
455, 0.0, 2.3
460, 0.0, 2.4
465, 0.0, 2.4
470, 0.0, 2.4
475, 0.0, 2.4
480, 0.0, 2.4
485, 0.0, 2.4
490, 0.0, 2.4
495, 0.0, 2.5
500, 0.0, 2.5
505, 0.0, 2.6
510, 0.0, 2.6
515, 0.0, 2.6
520, 0.0, 2.7
525, 0.0, 2.7
530, 0.0, 2.7
535, 0.0, 2.7
540, 0.0, 2.8
545, 0.0, 2.8
550, 0.0, 2.8
555, 0.0, 2.8
560, 0.0, 2.8
565, 0.0, 2.9
570, 0.0, 2.9
575, 0.0, 2.9
580, 0.0, 3.0
585, 0.0, 3.0
590, 0.0, 3.0
595, 0.0, 3.0
600, 0.0, 3.1
605, 0.0, 3.1
610, 0.0, 3.1
615, 0.0, 3.2
620, 0.0, 3.2
625, 0.0, 3.2
630, 0.0, 3.2
635, 0.0, 3.3
640, 0.0, 3.3
645, 0.0, 3.3
650, 0.0, 3.3
655, 0.0, 3.3
660, 0.0, 3.4
665, 0.0, 3.4
670, 0.0, 3.4
675, 0.0, 3.5
680, 0.0, 3.5
685, 0.0, 3.5
690, 0.0, 3.5
695, 0.0, 3.5
700, 0.0, 3.6
705, 0.0, 3.6
710, 0.0, 3.6
715, 0.0, 3.7
720, 0.0, 3.7
725, 0.0, 3.7
730, 0.0, 3.7
735, 0.0, 3.8
740, 0.0, 3.8
745, 0.0, 3.8
750, 0.0, 3.8
755, 0.0, 3.8
760, 0.0, 3.9
765, 0.0, 3.9
770, 0.0, 3.9
775, 0.0, 4.0
780, 0.0, 4.0
785, 0.0, 4.0
790, 0.0, 4.0
795, 0.0, 4.1
800, 0.0, 4.1
805, 0.0, 4.2
810, 0.0, 4.2
815, 0.0, 4.2
820, 0.0, 4.2
825, 0.0, 4.3
830, 0.0, 4.3
835, 0.0, 4.3
840, 0.0, 4.4
845, 0.0, 4.4
850, 0.0, 4.4
855, 0.0, 4.4
860, 0.0, 4.4
865, 0.0, 4.5
870, 0.0, 4.5
875, 0.0, 4.5
880, 0.0, 4.5
885, 0.0, 4.5
890, 0.0, 4.6
895, 0.0, 4.6
900, 0.0, 4.6
