seconds,CPU,memory
0,12.0, 3.4
5,77.8, 4.0
10,87.1, 4.0
15,88.1, 4.0
20,91.5, 4.0
25,90.8, 4.0
30,90.5, 4.0
35,90.2, 0.0
40,80.5, 0.0
45,72.6, 0.0
50,65.0, 0.0
55,59.7, 0.0
60,55.2, 0.0
65,51.4, 0.0
70,47.5, 0.0
75,44.6, 0.0
80,42.1, 0.0
85,39.8, 0.0
90,37.4, 0.0
95,35.6, 0.0
100,33.9, 0.0
105,36.2, 3.5
110,38.7, 3.5
115,41.0, 3.5
120,43.6, 3.5
125,45.4, 3.5
130,47.1, 3.5
135,47.2, 0.0
140,45.4, 0.0
145,44.0, 0.0
150,42.6, 0.0
155,41.4, 0.0
160,40.0, 0.0
165,38.8, 0.0
170,37.8, 0.0
175,36.8, 0.0
180,35.7, 0.0
185,34.8, 0.0
190,33.9, 0.0
195,33.1, 0.0
200,32.4, 0.0
205,31.5, 0.0
210,30.8, 0.0
215,30.1, 0.0
220,29.8, 4.8
225,30.3, 4.8
230,30.8, 4.8
235,31.1, 4.8
240,32.3, 4.8
245,33.5, 4.8
250,34.7, 0.0
255,34.0, 0.0
260,33.4, 0.0
265,32.8, 0.0
270,32.1, 0.0
275,31.6, 0.0
280,31.0, 0.0
285,30.5, 0.0
290,30.1, 0.0
295,29.5, 0.0
300,29.0, 0.0
305,28.6, 0.0
310,28.1, 0.0
315,27.7, 0.0
320,28.2, 3.4
325,29.2, 3.4
330,30.2, 3.4
335,31.2, 3.4
340,32.1, 3.4
345,33.1, 3.4
350,32.8, 0.0
355,32.3, 0.0
360,31.8, 0.0
365,31.4, 0.0
370,31.0, 0.0
375,30.7, 0.0
380,30.3, 0.0
385,29.8, 0.0
390,29.5, 0.0
395,29.1, 0.0
400,28.7, 0.0
405,28.4, 0.0
410,28.1, 0.0
415,27.8, 0.0
420,28.1, 4.3
425,28.8, 4.3
430,29.6, 4.3
435,30.3, 4.3
440,31.0, 4.3
445,31.6, 0.0
450,31.2, 0.0
455,30.9, 0.0
460,30.6, 0.0
465,30.3, 0.0
470,30.0, 0.0
475,29.6, 0.0
480,29.4, 0.0
485,29.1, 0.0
490,28.8, 0.0
495,28.5, 0.0
500,28.2, 0.0
505,28.6, 3.3
510,29.2, 3.3
515,29.9, 3.3
520,30.4, 3.3
525,31.1, 3.3
530,31.6, 3.3
535,32.1, 0.0
540,31.9, 0.0
545,31.6, 0.0
550,31.3, 0.0
555,31.0, 0.0
560,30.7, 0.0
565,30.4, 0.0
570,30.2, 0.0
575,29.9, 0.0
580,29.7, 0.0
585,29.5, 0.0
590,29.2, 0.0
595,29.0, 0.0
600,28.7, 0.0
605,28.5, 0.0
610,28.6, 5.1
615,29.1, 5.1
620,29.7, 5.1
625,30.3, 5.1
630,30.8, 5.1
635,31.4, 5.1
640,31.1, 0.0
645,30.9, 0.0
650,30.7, 0.0
655,30.4, 0.0
660,30.2, 0.0
665,30.0, 0.0
670,29.8, 0.0
675,29.6, 0.0
680,29.3, 0.0
685,29.1, 0.0
690,28.9, 0.0
695,28.7, 0.0
700,28.5, 0.0
705,28.3, 0.0
710,28.2, 5.1
715,28.6, 5.1
720,29.1, 5.1
725,29.6, 5.1
730,30.0, 5.1
735,30.5, 5.1
740,30.9, 5.1
745,31.2, 0.0
750,31.0, 0.0
755,30.8, 0.0
760,30.6, 0.0
765,30.4, 0.0
770,30.2, 0.0
775,30.0, 0.0
780,29.8, 0.0
785,29.7, 0.0
790,29.4, 0.0
795,29.3, 0.0
800,29.1, 0.0
805,28.9, 0.0
810,28.9, 4.6
815,29.1, 4.6
820,29.4, 4.6
825,29.6, 4.6
830,29.8, 4.6
835,30.0, 0.0
840,29.8, 0.0
845,29.6, 0.0
850,29.4, 0.0
855,29.2, 0.0
860,29.1, 0.0
865,28.9, 0.0
870,28.7, 0.0
875,28.6, 0.0
880,28.4, 0.0
885,28.3, 0.0
890,28.1, 0.0
895,27.9, 0.0
900,27.8, 3.3
