seconds,RX data rate,TX data rate,disk writes,available disk capacity
0,RX,Errs/Drop,,18660
5,RX,Errs/Drop,,18660
10,RX,Errs/Drop,,18660
15,RX,Errs/Drop,,18660
20,RX,Errs/Drop,,18660
25,RX,Errs/Drop,,18660
30,RX,Errs/Drop,,18661
35,RX,Errs/Drop,,18661
40,RX,Errs/Drop,,18661
45,RX,Errs/Drop,,18661
50,RX,Errs/Drop,,18661
55,RX,Errs/Drop,,18606
60,RX,Errs/Drop,,18414
65,RX,Errs/Drop,,18414
70,RX,Errs/Drop,,18157
75,RX,Errs/Drop,,18158
80,RX,Errs/Drop,,17644
85,RX,Errs/Drop,,17644
90,RX,Errs/Drop,,17646
95,RX,Errs/Drop,,17646
100,RX,Errs/Drop,,17646
105,RX,Errs/Drop,,16618
110,RX,Errs/Drop,,16622
115,RX,Errs/Drop,,16622
120,RX,Errs/Drop,,16622
125,RX,Errs/Drop,,16622
130,RX,Errs/Drop,,16622
135,RX,Errs/Drop,,16622
140,RX,Errs/Drop,,16622
145,RX,Errs/Drop,,16622
150,RX,Errs/Drop,,16622
155,RX,Errs/Drop,,16622
160,RX,Errs/Drop,,14566
165,RX,Errs/Drop,,14574
170,RX,Errs/Drop,,14574
175,RX,Errs/Drop,,14574
180,RX,Errs/Drop,,14574
185,RX,Errs/Drop,,14574
190,RX,Errs/Drop,,14574
195,RX,Errs/Drop,,14574
200,RX,Errs/Drop,,14574
205,RX,Errs/Drop,,14574
210,RX,Errs/Drop,,14574
215,RX,Errs/Drop,,14574
220,RX,Errs/Drop,,14574
225,RX,Errs/Drop,,14574
230,RX,Errs/Drop,,14574
235,RX,Errs/Drop,,14574
240,RX,Errs/Drop,,14574
245,RX,Errs/Drop,,14574
250,RX,Errs/Drop,,14574
255,RX,Errs/Drop,,14574
260,RX,Errs/Drop,,10461
265,RX,Errs/Drop,,10461
270,RX,Errs/Drop,,10477
275,RX,Errs/Drop,,10477
280,RX,Errs/Drop,,10477
285,RX,Errs/Drop,,10477
290,RX,Errs/Drop,,10477
295,RX,Errs/Drop,,10477
300,RX,Errs/Drop,,10477
305,RX,Errs/Drop,,10477
310,RX,Errs/Drop,,10477
315,RX,Errs/Drop,,10477
320,RX,Errs/Drop,,10477
325,RX,Errs/Drop,,10477
330,RX,Errs/Drop,,10477
335,RX,Errs/Drop,,10477
340,RX,Errs/Drop,,10477
345,RX,Errs/Drop,,10477
350,RX,Errs/Drop,,10477
355,RX,Errs/Drop,,10477
360,RX,Errs/Drop,,10477
365,RX,Errs/Drop,,10477
370,RX,Errs/Drop,,10477
375,RX,Errs/Drop,,10477
380,RX,Errs/Drop,,10477
385,RX,Errs/Drop,,10477
390,RX,Errs/Drop,,10477
395,RX,Errs/Drop,,10477
400,RX,Errs/Drop,,10477
405,RX,Errs/Drop,,10477
410,RX,Errs/Drop,,10477
415,RX,Errs/Drop,,10477
420,RX,Errs/Drop,,10477
425,RX,Errs/Drop,,10477
430,RX,Errs/Drop,,10477
435,RX,Errs/Drop,,10477
440,RX,Errs/Drop,,10477
445,RX,Errs/Drop,,10477
450,RX,Errs/Drop,,10477
455,RX,Errs/Drop,,10477
460,RX,Errs/Drop,,10478
465,RX,Errs/Drop,,10478
470,RX,Errs/Drop,,10221
475,RX,Errs/Drop,,10222
480,RX,Errs/Drop,,10222
485,RX,Errs/Drop,,9710
490,RX,Errs/Drop,,9710
495,RX,Errs/Drop,,9710
500,RX,Errs/Drop,,9710
505,RX,Errs/Drop,,9710
510,RX,Errs/Drop,,8686
515,RX,Errs/Drop,,8686
520,RX,Errs/Drop,,8686
525,RX,Errs/Drop,,8686
530,RX,Errs/Drop,,8686
535,RX,Errs/Drop,,8686
540,RX,Errs/Drop,,8686
545,RX,Errs/Drop,,8686
550,RX,Errs/Drop,,8686
555,RX,Errs/Drop,,8686
560,RX,Errs/Drop,,6638
565,RX,Errs/Drop,,6638
570,RX,Errs/Drop,,6638
575,RX,Errs/Drop,,6638
580,RX,Errs/Drop,,6638
585,RX,Errs/Drop,,6638
590,RX,Errs/Drop,,6638
595,RX,Errs/Drop,,6638
600,RX,Errs/Drop,,6638
605,RX,Errs/Drop,,6638
610,RX,Errs/Drop,,6638
615,RX,Errs/Drop,,6638
620,RX,Errs/Drop,,6638
625,RX,Errs/Drop,,6638
630,RX,Errs/Drop,,6638
635,RX,Errs/Drop,,6638
640,RX,Errs/Drop,,6638
645,RX,Errs/Drop,,6638
650,RX,Errs/Drop,,6638
655,RX,Errs/Drop,,6638
660,RX,Errs/Drop,,2525
665,RX,Errs/Drop,,2525
670,RX,Errs/Drop,,2532
675,RX,Errs/Drop,,2532
680,RX,Errs/Drop,,2532
685,RX,Errs/Drop,,2532
690,RX,Errs/Drop,,2532
695,RX,Errs/Drop,,2532
700,RX,Errs/Drop,,2532
705,RX,Errs/Drop,,2532
710,RX,Errs/Drop,,2532
715,RX,Errs/Drop,,2532
720,RX,Errs/Drop,,2532
725,RX,Errs/Drop,,2532
730,RX,Errs/Drop,,2532
735,RX,Errs/Drop,,2532
740,RX,Errs/Drop,,2532
745,RX,Errs/Drop,,2532
750,RX,Errs/Drop,,2532
755,RX,Errs/Drop,,2532
760,RX,Errs/Drop,,2539
765,RX,Errs/Drop,,2539
770,RX,Errs/Drop,,2539
775,RX,Errs/Drop,,2539
780,RX,Errs/Drop,,2539
785,RX,Errs/Drop,,18661
790,RX,Errs/Drop,,18661
795,RX,Errs/Drop,,18661
800,RX,Errs/Drop,,18661
805,RX,Errs/Drop,,18661
810,RX,Errs/Drop,,18661
815,RX,Errs/Drop,,18661
820,RX,Errs/Drop,,18661
825,RX,Errs/Drop,,18661
830,RX,Errs/Drop,,18661
835,RX,Errs/Drop,,18661
840,RX,Errs/Drop,,18661
845,RX,Errs/Drop,,18661
850,RX,Errs/Drop,,18661
855,RX,Errs/Drop,,18661
860,RX,Errs/Drop,,18661
865,RX,Errs/Drop,,18661
870,RX,Errs/Drop,,18661
875,RX,Errs/Drop,,18661
880,RX,Errs/Drop,,18661
885,RX,Errs/Drop,,18661
890,RX,Errs/Drop,,18661
895,RX,Errs/Drop,,18661
900,RX,Errs/Drop,,18661
