seconds,CPU,memory
0,31.0, 0.0
5,83.2, 0.0
10,92.5, 0.0
15,93.0, 0.0
20,96.6, 0.0
25,96.0, 0.0
30,95.6, 0.0
35,95.2, 0.0
40,96.3, 0.0
45,97.1, 0.0
50,96.1, 0.0
55,96.7, 0.0
60,97.3, 0.0
65,96.4, 0.0
70,89.0, 0.0
75,83.6, 0.0
80,78.8, 0.0
85,74.6, 0.0
90,70.1, 0.0
95,67.1, 0.0
100,68.8, 0.0
105,70.4, 0.0
110,71.6, 0.0
115,72.0, 0.0
120,73.3, 0.0
125,74.2, 0.0
130,74.9, 0.0
135,75.9, 0.0
140,76.2, 0.0
145,77.0, 0.0
150,77.8, 0.0
155,76.8, 0.0
160,74.6, 0.0
165,72.6, 0.0
170,70.6, 0.0
175,68.7, 0.0
180,66.6, 0.0
185,65.0, 0.0
190,63.4, 0.0
195,62.7, 0.0
200,63.6, 0.0
205,64.2, 0.0
210,65.1, 0.0
215,65.9, 0.0
220,66.0, 0.0
225,65.7, 0.0
230,65.5, 0.0
235,65.0, 0.0
240,65.7, 0.0
245,66.3, 0.0
250,67.2, 0.0
255,67.6, 0.0
260,68.3, 0.0
265,68.2, 0.0
270,66.8, 0.0
275,65.7, 0.0
280,64.6, 0.0
285,63.6, 0.0
290,62.6, 0.0
295,61.4, 0.0
300,61.2, 0.0
305,61.9, 0.0
310,62.3, 0.0
315,63.0, 0.0
320,63.6, 0.0
325,64.1, 0.0
330,64.5, 0.0
335,65.0, 0.0
340,65.4, 0.0
345,65.8, 0.0
350,66.3, 0.0
355,66.8, 0.0
360,66.6, 0.0
365,65.7, 0.0
370,64.9, 0.0
375,64.1, 0.0
380,63.2, 0.0
385,62.4, 0.0
390,61.6, 0.0
395,61.6, 0.0
400,62.0, 0.0
405,62.4, 0.0
410,62.9, 0.0
415,63.3, 0.0
420,63.7, 0.0
425,64.1, 0.0
430,64.6, 0.0
435,64.9, 0.0
440,65.2, 0.0
445,65.7, 0.0
450,66.0, 0.0
455,66.1, 0.0
460,65.4, 0.0
465,64.7, 0.0
470,64.0, 0.0
475,63.4, 0.0
480,62.7, 0.0
485,62.1, 0.0
490,61.5, 0.0
495,60.9, 0.0
500,60.9, 0.0
505,61.3, 0.0
510,61.7, 0.0
515,61.9, 0.0
520,62.3, 0.0
525,62.6, 0.0
530,62.9, 0.0
535,63.2, 0.0
540,63.5, 0.0
545,63.9, 0.0
550,64.2, 0.0
555,64.5, 0.0
560,64.0, 0.0
565,63.4, 0.0
570,62.9, 0.0
575,62.3, 0.0
580,61.8, 0.0
585,61.4, 0.0
590,61.3, 0.0
595,61.6, 0.0
600,62.0, 0.0
605,62.2, 0.0
610,62.5, 0.0
615,62.7, 0.0
620,63.0, 0.0
625,63.2, 0.0
630,63.4, 0.0
635,63.7, 0.0
640,63.8, 0.0
645,63.9, 0.0
650,63.5, 0.0
655,63.0, 0.0
660,62.5, 0.0
665,62.0, 0.0
670,61.6, 0.0
675,61.2, 0.0
680,61.2, 0.0
685,61.5, 0.0
690,61.8, 0.0
695,62.0, 0.0
700,62.2, 0.0
705,62.5, 0.0
710,62.8, 0.0
715,63.0, 0.0
720,63.1, 0.0
725,63.4, 0.0
730,63.6, 0.0
735,63.6, 0.0
740,63.1, 0.0
745,62.7, 0.0
750,62.3, 0.0
755,61.9, 0.0
760,61.5, 0.0
765,61.1, 0.0
770,60.7, 0.0
775,60.6, 0.0
780,60.8, 0.0
785,61.1, 0.0
790,61.2, 0.0
795,61.5, 0.0
800,61.7, 0.0
805,61.9, 0.0
810,62.0, 0.0
815,62.0, 0.0
820,62.0, 0.0
825,62.0, 0.0
830,62.0, 0.0
835,62.1, 0.0
840,62.2, 0.0
845,61.9, 0.0
850,61.5, 0.0
855,61.2, 0.0
860,60.8, 0.0
865,60.5, 0.0
870,60.1, 0.0
875,59.8, 0.0
880,60.0, 0.0
885,60.2, 0.0
890,60.5, 0.0
895,60.7, 0.0
900,60.9, 0.0
