seconds,CPU,memory
0, 0.0, 0.0
5, 0.0, 0.0
10, 0.0, 0.0
15, 0.0, 0.1
20, 0.0, 0.1
25, 0.0, 0.2
30, 0.0, 0.2
35, 0.0, 0.3
40, 0.0, 0.3
45, 0.0, 0.3
50, 0.0, 0.3
55, 0.0, 0.3
60, 0.0, 0.3
65, 0.0, 0.4
70, 0.0, 0.4
75, 0.0, 0.4
80, 0.0, 0.4
85, 0.0, 0.5
90, 0.0, 0.5
95, 0.0, 0.5
100, 0.0, 0.5
105, 0.0, 0.6
110, 0.0, 0.6
115, 0.0, 0.6
120, 0.0, 0.7
125, 0.0, 0.7
130, 0.0, 0.8
135, 0.0, 0.8
140, 0.0, 0.8
145, 0.0, 0.8
150, 0.0, 0.8
155, 0.0, 0.9
160, 0.0, 0.9
165, 0.0, 1.0
170, 0.0, 1.0
175, 0.0, 1.0
180, 0.0, 1.0
185, 0.0, 1.0
190, 0.0, 1.0
195, 0.0, 1.0
200, 0.0, 1.1
205, 0.0, 1.1
210, 0.0, 1.2
215, 0.0, 1.2
220, 0.0, 1.2
225, 0.0, 1.2
230, 0.0, 1.2
235, 0.0, 1.3
240, 0.0, 1.3
245, 0.0, 1.4
250, 0.0, 1.4
255, 0.0, 1.4
260, 0.0, 1.4
265, 0.0, 1.4
270, 0.0, 1.5
275, 0.0, 1.5
280, 0.0, 1.5
285, 0.0, 1.5
290, 0.0, 1.6
295, 0.0, 1.6
300, 0.0, 1.6
305, 0.0, 1.6
310, 0.0, 1.6
315, 0.0, 1.7
320, 0.0, 1.7
325, 0.0, 1.7
330, 0.0, 1.7
335, 0.0, 1.8
340, 0.0, 1.8
345, 0.0, 1.9
350, 0.0, 1.9
355, 0.0, 1.9
360, 0.0, 1.9
365, 0.0, 2.0
370, 0.0, 2.0
375, 0.0, 2.0
380, 0.0, 2.0
385, 0.0, 2.0
390, 0.0, 2.0
395, 0.0, 2.1
400, 0.0, 2.1
405, 0.0, 2.1
410, 0.0, 2.1
415, 0.0, 2.2
420, 0.0, 2.2
425, 0.0, 2.2
430, 0.0, 2.2
435, 0.0, 2.2
440, 0.0, 2.2
445, 0.0, 2.2
450, 0.0, 2.3
455, 0.0, 2.3
460, 0.0, 2.3
465, 0.0, 2.3
470, 0.0, 2.3
475, 0.0, 2.3
480, 0.0, 2.3
485, 0.0, 2.5
490, 0.0, 2.5
495, 0.0, 2.5
500, 0.0, 2.5
505, 0.0, 2.5
510, 0.0, 2.5
515, 0.0, 2.5
520, 0.0, 2.6
525, 0.0, 2.6
530, 0.0, 2.7
535, 0.0, 2.7
540, 0.0, 2.7
545, 0.0, 2.7
550, 0.0, 2.8
555, 0.0, 2.8
560, 0.0, 2.8
565, 0.0, 2.8
570, 0.0, 2.8
575, 0.0, 2.8
580, 0.0, 2.8
585, 0.0, 2.8
590, 0.0, 2.9
595, 0.0, 2.9
600, 0.0, 2.9
605, 0.0, 2.9
610, 0.0, 2.9
615, 0.0, 3.0
620, 0.0, 3.0
625, 0.0, 3.1
630, 0.0, 3.1
635, 0.0, 3.1
640, 0.0, 3.1
645, 0.0, 3.2
650, 0.0, 3.2
655, 0.0, 3.2
660, 0.0, 3.2
665, 0.0, 3.2
670, 0.0, 3.3
675, 0.0, 3.3
680, 0.0, 3.4
685, 0.0, 3.4
690, 0.0, 3.4
695, 0.0, 3.4
700, 0.0, 3.4
705, 0.0, 3.4
710, 0.0, 3.5
715, 0.0, 3.5
720, 0.0, 3.5
725, 0.0, 3.5
730, 0.0, 3.5
735, 0.0, 3.5
740, 0.0, 3.5
745, 0.0, 3.6
750, 0.0, 3.6
755, 0.0, 3.6
760, 0.0, 3.6
765, 0.0, 3.6
770, 0.0, 3.7
775, 0.0, 3.7
780, 0.0, 3.7
785, 0.0, 3.8
790, 0.0, 3.8
795, 0.0, 3.9
800, 0.0, 3.9
805, 0.0, 3.9
810, 0.0, 3.9
815, 0.0, 4.0
820, 0.0, 4.0
825, 0.0, 4.0
830, 0.0, 4.0
835, 0.0, 4.0
840, 0.0, 4.1
845, 0.0, 4.1
850, 0.0, 4.1
855, 0.0, 4.1
860, 0.0, 4.2
865, 0.0, 4.2
870, 0.0, 4.2
875, 0.0, 4.3
880, 0.0, 4.3
885, 0.0, 4.4
890, 0.0, 4.4
895, 0.0, 4.4
900, 0.0, 4.4
