seconds,CPU,memory
0, 0.0, 4.9
5,97.3, 4.9
10,95.8, 4.9
15,95.5, 4.9
20,94.5, 4.9
25,95.9, 4.9
30,86.3, 0.0
35,75.5, 0.0
40,67.1, 0.0
45,59.2, 0.0
50,53.9, 0.0
55,49.5, 0.0
60,45.7, 0.0
65,41.9, 0.0
70,39.2, 0.0
75,36.8, 0.0
80,34.7, 0.0
85,32.5, 0.7
90,36.0, 4.5
95,39.2, 4.5
100,41.9, 4.5
105,44.3, 4.5
110,46.6, 4.5
115,48.6, 4.5
120,47.8, 0.0
125,45.7, 0.0
130,44.1, 0.0
135,42.6, 0.0
140,41.0, 0.0
145,39.7, 0.0
150,38.5, 0.0
155,37.1, 0.0
160,36.0, 0.0
165,35.0, 0.0
170,34.1, 0.0
175,33.2, 0.0
180,32.2, 0.0
185,31.4, 0.0
190,30.6, 0.0
195,30.8, 3.2
200,32.1, 3.2
205,33.8, 3.2
210,35.4, 3.2
215,36.8, 3.2
220,38.1, 3.2
225,38.2, 0.0
230,37.3, 0.0
235,36.6, 0.0
240,35.9, 0.0
245,35.1, 0.0
250,34.4, 0.0
255,33.8, 0.0
260,33.1, 0.0
265,32.5, 0.0
270,32.0, 0.0
275,31.4, 0.0
280,30.8, 0.0
285,30.3, 0.0
290,29.8, 0.0
295,29.9, 4.1
300,30.9, 4.1
305,32.0, 4.1
310,33.1, 4.1
315,34.2, 4.1
320,35.2, 4.1
325,35.9, 0.0
330,35.4, 0.0
335,34.9, 0.0
340,34.3, 0.0
345,33.9, 0.0
350,33.4, 0.0
355,33.0, 0.0
360,32.5, 0.0
365,32.1, 0.0
370,31.7, 0.0
375,31.3, 0.0
380,30.8, 0.0
385,30.5, 0.0
390,30.1, 0.0
395,29.7, 0.0
400,29.3, 0.0
405,28.9, 0.0
410,29.3, 3.8
415,30.2, 3.8
420,30.9, 3.8
425,31.6, 3.8
430,32.3, 3.8
435,32.8, 0.0
440,32.4, 0.0
445,32.1, 0.0
450,31.8, 0.0
455,31.4, 0.0
460,31.1, 0.0
465,30.8, 0.0
470,30.5, 0.0
475,30.1, 0.0
480,29.8, 0.0
485,29.5, 0.0
490,29.2, 0.0
495,28.9, 0.0
500,28.6, 0.0
505,28.3, 0.0
510,28.1, 0.0
515,28.0, 4.2
520,28.4, 4.2
525,29.0, 4.2
530,29.3, 4.2
535,30.0, 4.2
540,30.5, 4.2
545,31.1, 4.2
550,31.5, 0.0
555,31.2, 0.0
560,30.9, 0.0
565,30.7, 0.0
570,30.4, 0.0
575,30.1, 0.0
580,29.9, 0.0
585,29.7, 0.0
590,29.4, 0.0
595,29.2, 0.0
600,28.9, 0.0
605,28.7, 0.0
610,28.5, 0.0
615,28.4, 4.9
620,29.0, 4.9
625,29.5, 4.9
630,30.0, 4.9
635,30.5, 4.9
640,31.0, 4.9
645,31.5, 4.9
650,32.1, 4.9
655,32.4, 0.0
660,32.1, 0.0
665,31.9, 0.0
670,31.7, 0.0
675,31.5, 0.0
680,31.2, 0.0
685,31.0, 0.0
690,30.8, 0.0
695,30.6, 0.0
700,30.3, 0.0
705,30.1, 0.0
710,30.0, 0.0
715,29.7, 0.0
720,29.5, 0.0
725,29.3, 0.0
730,29.4, 3.4
735,29.8, 3.4
740,30.3, 3.4
745,30.6, 3.4
750,31.1, 3.4
755,31.5, 3.4
760,31.9, 3.4
765,32.2, 0.0
770,32.0, 0.0
775,31.8, 0.0
780,31.6, 0.0
785,31.4, 0.0
790,31.2, 0.0
795,31.0, 0.0
800,30.8, 0.0
805,30.6, 0.0
810,30.4, 0.0
815,30.2, 0.0
820,30.0, 0.0
825,29.8, 0.0
830,29.6, 0.0
835,29.4, 0.0
840,29.3, 3.9
845,29.5, 3.9
850,30.0, 3.9
855,30.4, 3.9
860,30.8, 3.9
865,31.2, 3.9
870,31.3, 0.0
875,31.1, 0.0
880,30.9, 0.0
885,30.8, 0.0
890,30.6, 0.0
895,30.4, 0.0
900,30.2, 0.0
